2024-12-17 15:46:14.442 | INFO     | Core.Chunk.DocChunk:build_chunks:27 - Starting chunk the given documents
2024-12-17 15:46:14.442 | INFO     | Core.Storage.ChunkKVStorage:load_chunk:85 - Attempting to load the chunk data from: /home/yingli/yaodong_codes/GraphRAG/hotpotqa/er_graph/chunk_storage_chunk_data_idx.pkl and /home/yingli/yaodong_codes/GraphRAG/hotpotqa/er_graph/chunk_storage_chunk_data_key.pkl
2024-12-17 15:46:14.443 | INFO     | Core.Storage.ChunkKVStorage:load_chunk:93 - Successfully loaded chunk data (idx and key) from: /home/yingli/yaodong_codes/GraphRAG/hotpotqa/er_graph/chunk_storage_chunk_data_idx.pkl
2024-12-17 15:46:14.443 | INFO     | Core.Chunk.DocChunk:build_chunks:74 - ✅ Finished the chunking stage
2024-12-17 15:46:14.443 | INFO     | Core.GraphRAG:_update_costs_info:205 - Chunking stage cost: Total prompt token: 0, Total completeion token: 0, Total cost: 0
2024-12-17 15:46:14.443 | INFO     | Core.GraphRAG:_update_costs_info:207 - Chunking time(s): 0.00
2024-12-17 15:46:14.444 | INFO     | Core.Graph.BaseGraph:build_graph:42 - Starting build graph for the given documents
2024-12-17 15:46:14.444 | INFO     | Core.Storage.NetworkXStorage:load_nx_graph:27 - Attempting to load the graph from: /home/yingli/yaodong_codes/GraphRAG/hotpotqa/er_graph/graph_storage_nx_data.graphml
2024-12-17 15:46:14.478 | INFO     | Core.Storage.NetworkXStorage:load_nx_graph:31 - Successfully loaded graph from: /home/yingli/yaodong_codes/GraphRAG/hotpotqa/er_graph/graph_storage_nx_data.graphml with 924 nodes and 876 edges
2024-12-17 15:46:14.478 | INFO     | Core.Graph.BaseGraph:build_graph:51 - ✅ Finished the graph building stage
2024-12-17 15:46:14.478 | INFO     | Core.GraphRAG:_update_costs_info:205 - Build Graph stage cost: Total prompt token: 0, Total completeion token: 0, Total cost: 0
2024-12-17 15:46:14.478 | INFO     | Core.GraphRAG:_update_costs_info:207 - Build Graph time(s): 0.03
2024-12-17 15:46:14.484 | INFO     | Core.Index.BaseIndex:build_index:13 - Starting insert elements of the given graph into vector database
2024-12-17 15:46:15.264 | INFO     | Core.Index.BaseIndex:build_index:25 - Building index for input elements
2024-12-17 15:46:18.819 | INFO     | Core.Index.VectorIndex:_update_index:72 - refresh index size is 924
2024-12-17 15:46:21.975 | INFO     | Core.Index.BaseIndex:build_index:28 - Index successfully built and stored.
2024-12-17 15:46:21.976 | INFO     | Core.Index.BaseIndex:build_index:29 - ✅ Finished starting insert entities of the given graph into vector database
2024-12-17 15:46:21.985 | INFO     | Core.Index.BaseIndex:build_index:13 - Starting insert elements of the given graph into vector database
2024-12-17 15:46:21.985 | INFO     | Core.Index.BaseIndex:build_index:17 - Loading index from the file /home/yingli/yaodong_codes/GraphRAG/hotpotqa/er_graph/relations_vdb
2024-12-17 15:46:27.475 | INFO     | Core.Index.BaseIndex:build_index:29 - ✅ Finished starting insert entities of the given graph into vector database
2024-12-17 15:46:27.487 | INFO     | Core.Index.BaseIndex:build_index:13 - Starting insert elements of the given graph into vector database
2024-12-17 15:46:27.487 | INFO     | Core.Index.BaseIndex:build_index:17 - Loading index from the file /home/yingli/yaodong_codes/GraphRAG/hotpotqa/er_graph/subgraphs_vdb
2024-12-17 15:46:28.162 | INFO     | Core.Index.BaseIndex:build_index:29 - ✅ Finished starting insert entities of the given graph into vector database
2024-12-17 15:46:28.162 | INFO     | Core.GraphRAG:_build_retriever_context:176 - Building retriever context for the current execution
2024-12-17 15:46:32.113 | INFO     | Core.Query.MedQuery:_retrieve_relevant_contexts:43 - Find top 5 entities at iteration 55!
2024-12-17 15:46:42.407 | WARNING  | Core.Common.CostManager:update_cost:49 - Model TA/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo not found in TOKEN_COSTS.
